Date,Hour,Temperature,PrecipIntensity,Date_Hour,Year
5/26/2016,23,59.54,0,2016-05-26-23,2016
5/27/2016,0,59.02,0,2016-05-27-00,2016
5/27/2016,1,58.36,0,2016-05-27-01,2016
5/27/2016,2,57.78,0,2016-05-27-02,2016
5/27/2016,3,57.37,0,2016-05-27-03,2016
5/27/2016,4,57.45,0,2016-05-27-04,2016
5/27/2016,5,58.09,0,2016-05-27-05,2016
5/27/2016,6,59.53,0,2016-05-27-06,2016
5/27/2016,7,62.13,0,2016-05-27-07,2016
5/27/2016,8,64.12,0,2016-05-27-08,2016
5/27/2016,9,66.1,0,2016-05-27-09,2016
5/27/2016,10,68.99,0,2016-05-27-10,2016
5/27/2016,11,72.25,0,2016-05-27-11,2016
5/27/2016,12,73.83,0,2016-05-27-12,2016
5/27/2016,13,75.19,0,2016-05-27-13,2016
5/27/2016,14,75.08,0,2016-05-27-14,2016
5/27/2016,15,74.83,0,2016-05-27-15,2016
5/27/2016,16,73.1,0,2016-05-27-16,2016
5/27/2016,17,71.4,0,2016-05-27-17,2016
5/27/2016,18,68.39,0,2016-05-27-18,2016
5/27/2016,19,64.75,0,2016-05-27-19,2016
5/27/2016,20,62.66,0,2016-05-27-20,2016
5/27/2016,21,61.41,0,2016-05-27-21,2016
5/27/2016,22,60.69,0,2016-05-27-22,2016
5/25/2016,23,57.88,0,2016-05-25-23,2016
5/26/2016,0,57.2,0,2016-05-26-00,2016
5/26/2016,1,56.87,0,2016-05-26-01,2016
5/26/2016,2,57.53,0,2016-05-26-02,2016
5/26/2016,3,56.27,0,2016-05-26-03,2016
5/26/2016,4,55.53,0,2016-05-26-04,2016
5/26/2016,5,55.63,0,2016-05-26-05,2016
5/26/2016,6,57.77,0,2016-05-26-06,2016
5/26/2016,7,61.08,0,2016-05-26-07,2016
5/26/2016,8,63.66,0,2016-05-26-08,2016
5/26/2016,9,66,0,2016-05-26-09,2016
5/26/2016,10,68.35,0,2016-05-26-10,2016
5/26/2016,11,69.7,0,2016-05-26-11,2016
5/26/2016,12,71.2,0,2016-05-26-12,2016
5/26/2016,13,72.25,0,2016-05-26-13,2016
5/26/2016,14,72.53,0,2016-05-26-14,2016
5/26/2016,15,71.6,0,2016-05-26-15,2016
5/26/2016,16,70.73,0,2016-05-26-16,2016
5/26/2016,17,69.14,0,2016-05-26-17,2016
5/26/2016,18,66.94,0,2016-05-26-18,2016
5/26/2016,19,64.36,0,2016-05-26-19,2016
5/26/2016,20,62.57,0,2016-05-26-20,2016
5/26/2016,21,61.54,0,2016-05-26-21,2016
5/26/2016,22,60.5,0,2016-05-26-22,2016
5/24/2016,23,58.94,0,2016-05-24-23,2016
5/25/2016,0,58.37,0,2016-05-25-00,2016
5/25/2016,1,58.05,0,2016-05-25-01,2016
5/25/2016,2,57.5,0,2016-05-25-02,2016
5/25/2016,3,57.02,0,2016-05-25-03,2016
5/25/2016,4,56.26,0,2016-05-25-04,2016
5/25/2016,5,55.77,0,2016-05-25-05,2016
5/25/2016,6,57.65,0,2016-05-25-06,2016
5/25/2016,7,60.33,0,2016-05-25-07,2016
5/25/2016,8,62.24,0,2016-05-25-08,2016
5/25/2016,9,63.58,0,2016-05-25-09,2016
5/25/2016,10,64.56,0,2016-05-25-10,2016
5/25/2016,11,65.4,0,2016-05-25-11,2016
5/25/2016,12,65.95,0,2016-05-25-12,2016
5/25/2016,13,66.98,0,2016-05-25-13,2016
5/25/2016,14,67.49,0,2016-05-25-14,2016
5/25/2016,15,67.61,0,2016-05-25-15,2016
5/25/2016,16,67.65,0,2016-05-25-16,2016
5/25/2016,17,66.63,0,2016-05-25-17,2016
5/25/2016,18,65.29,0,2016-05-25-18,2016
5/25/2016,19,62.55,0,2016-05-25-19,2016
5/25/2016,20,60.65,0,2016-05-25-20,2016
5/25/2016,21,59.53,0,2016-05-25-21,2016
5/25/2016,22,58.61,0,2016-05-25-22,2016
5/23/2016,23,59.1,0,2016-05-23-23,2016
5/24/2016,0,58.63,0,2016-05-24-00,2016
5/24/2016,1,58.38,0,2016-05-24-01,2016
5/24/2016,2,57.93,0,2016-05-24-02,2016
5/24/2016,3,57.87,0,2016-05-24-03,2016
5/24/2016,4,57.81,0,2016-05-24-04,2016
5/24/2016,5,57.57,0.001,2016-05-24-05,2016
5/24/2016,6,58.39,0.0015,2016-05-24-06,2016
5/24/2016,7,60.33,0,2016-05-24-07,2016
5/24/2016,8,61.65,0.001,2016-05-24-08,2016
5/24/2016,9,63.18,0,2016-05-24-09,2016
5/24/2016,10,64.45,0,2016-05-24-10,2016
5/24/2016,11,66.08,0,2016-05-24-11,2016
5/24/2016,12,67.26,0,2016-05-24-12,2016
5/24/2016,13,68.52,0,2016-05-24-13,2016
5/24/2016,14,69.2,0,2016-05-24-14,2016
5/24/2016,15,68.85,0,2016-05-24-15,2016
5/24/2016,16,67.74,0,2016-05-24-16,2016
5/24/2016,17,65.93,0,2016-05-24-17,2016
5/24/2016,18,63.76,0,2016-05-24-18,2016
5/24/2016,19,61.43,0,2016-05-24-19,2016
5/24/2016,20,60.23,0,2016-05-24-20,2016
5/24/2016,21,59.78,0,2016-05-24-21,2016
5/24/2016,22,59.32,0,2016-05-24-22,2016
5/22/2016,23,58.63,0,2016-05-22-23,2016
5/23/2016,0,57.68,0,2016-05-23-00,2016
5/23/2016,1,56.62,0,2016-05-23-01,2016
5/23/2016,2,55.77,0,2016-05-23-02,2016
5/23/2016,3,55.2,0,2016-05-23-03,2016
5/23/2016,4,54.81,0,2016-05-23-04,2016
5/23/2016,5,54.8,0,2016-05-23-05,2016
5/23/2016,6,56.86,0,2016-05-23-06,2016
5/23/2016,7,60.71,0,2016-05-23-07,2016
5/23/2016,8,63.13,0,2016-05-23-08,2016
