Date,Temp High,Temp Low,Precipitation,Year
2014-1-1,72.06,49.34,0.0,2014
2014-1-2,79.27,53.65,0.0,2014
2014-1-3,71.57,52.39,0.002,2014
2014-1-4,69.33,51.6,0.0,2014
2014-1-5,76.42,50.85,0.001,2014
2014-1-6,76.95,55.19,0.0,2014
2014-1-7,68.2,51.29,0.0,2014
2014-1-8,66.91,50.18,0.0,2014
2014-1-9,63.78,50.46,0.001,2014
2014-1-10,71.53,48.04,0.002,2014
2014-1-11,74.37,51.2,0.0025,2014
2014-1-12,68.48,53.21,0.0035,2014
2014-1-13,79.86,55.25,0.0,2014
2014-1-14,81.98,57.71,0.0,2014
2014-1-15,84.56,59.74,0.0,2014
2014-1-16,84.55,59.55,0.0,2014
2014-1-17,85.09,59.54,0.0,2014
2014-1-18,83.16,55.17,0.0,2014
2014-1-19,78.8,53.08,0.0,2014
2014-1-20,79.61,51.08,0.0,2014
2014-1-21,76.75,56.21,0.0,2014
2014-1-22,76.86,56.01,0.0,2014
2014-1-23,71.46,51.9,0.0,2014
2014-1-24,71.81,56.4,0.0,2014
2014-1-25,74.83,57.65,0.0,2014
2014-1-26,67.77,53.67,0.0,2014
2014-1-27,69.48,52.66,0.001,2014
2014-1-28,70.68,52.41,0.0,2014
2014-1-29,73.68,55.37,0.0015,2014
2014-1-30,61.26,56.24,0.0225,2014
2014-1-31,62.19,53.93,0.0175,2014
2014-2-1,64.56,47.65,0.0,2014
2014-2-2,61.12,45.92,0.11599999999999999,2014
2014-2-3,60.97,45.76,0.0295,2014
2014-2-4,61.18,46.53,0.0,2014
2014-2-5,63.27,47.4,0.0,2014
2014-2-6,58.46,51.63,0.205,2014
2014-2-7,61.21,50.31,0.0265,2014
2014-2-8,64.77,51.95,0.0,2014
2014-2-9,64.76,55.54,0.002,2014
2014-2-10,69.23,53.43,0.0,2014
2014-2-11,72.59,53.85,0.001,2014
2014-2-12,79.71,55.35,0.0025,2014
2014-2-13,81.31,55.74,0.0,2014
