Date,Temp High,Temp Low,Precipitation
6/8/2016,79.15,61.19,0
6/7/2016,77.49,60.94,0
6/6/2016,76.29,59.32,0
6/5/2016,76.93,59.68,0
6/4/2016,85.08,63.24,0
6/3/2016,93.27,61.33,0
6/2/2016,86.63,62.64,0
6/1/2016,76.66,62.11,0
5/31/2016,74.5,59.41,0
5/30/2016,74.22,57.9,0
5/29/2016,71.23,60.27,0.002
5/28/2016,73.3,60.32,0
5/27/2016,75.19,57.37,0
5/26/2016,72.53,55.53,0
5/25/2016,67.65,55.77,0
5/24/2016,69.2,57.57,0.0015
5/23/2016,70.44,54.8,0
5/22/2016,70.63,53.21,0
5/21/2016,67.06,54.19,0
5/20/2016,67.31,58.37,0
5/19/2016,72.94,61.42,0
5/18/2016,73.33,60.47,0
5/17/2016,72.99,60.76,0
5/16/2016,70.02,60.36,0
5/15/2016,69.5,60.9,0
5/14/2016,71.77,61.63,0
5/13/2016,78.11,59.77,0
5/12/2016,77.62,57.91,0
5/11/2016,75.09,59.54,0
5/10/2016,71.26,55.71,0
5/9/2016,68.48,56.21,0.0015
5/8/2016,66.78,54.8,0
5/7/2016,66.77,56.25,0.0215
5/6/2016,63.38,56.09,0.1515
5/5/2016,65.73,58.58,0.0395
5/4/2016,70.18,58.1,0
5/3/2016,80.42,57.92,0
5/2/2016,76.53,56.03,0
5/1/2016,72,55.38,0
4/30/2016,67.62,55.99,0.0095
4/29/2016,69.14,54.82,0
4/28/2016,67.77,53.2,0
4/27/2016,69.33,53.71,0
4/26/2016,69.74,50.22,0
4/25/2016,66.43,54.62,0.0495
4/24/2016,71.74,56.08,0
4/23/2016,74.41,55.65,0
4/22/2016,72.78,57.41,0
4/21/2016,80.76,58.97,0
4/20/2016,85.82,60.46,0
4/19/2016,87.96,62.62,0
4/18/2016,87.55,61.6,0
4/17/2016,87.28,59.42,0
4/16/2016,82.5,61.5,0
4/15/2016,76.56,56.27,0
4/14/2016,70.11,56.15,0
4/13/2016,71.31,56.44,0
4/12/2016,71.57,55.19,0
4/11/2016,71.68,56.96,0.003
4/10/2016,67.09,56.48,0.0095
4/9/2016,62.89,58.61,0.157
4/8/2016,61.05,58.89,0.124
4/7/2016,67.25,59.84,0.1085
4/6/2016,87.14,59.34,0
4/5/2016,87.18,57.23,0
4/4/2016,79.03,56.05,0
4/3/2016,78.11,56.14,0
4/2/2016,77.95,54.9,0
4/1/2016,71.93,51.93,0
3/31/2016,70.45,48.73,0
3/30/2016,63.28,48.39,0.003
3/29/2016,62.84,47,0.033
3/28/2016,62.44,53.17,0.008
3/27/2016,72.23,57.65,0
3/26/2016,74.4,55.88,0
3/25/2016,77.62,54.81,0
3/24/2016,79.59,54.68,0
3/23/2016,76.09,52.63,0
3/22/2016,69.28,53.81,0
3/21/2016,68.94,55.89,0
3/20/2016,72.28,56.19,0
3/19/2016,72.55,57.84,0
3/18/2016,73.46,58.34,0
3/17/2016,79.61,58.56,0
3/16/2016,84.77,57.53,0
3/15/2016,77.52,53.59,0
3/14/2016,69.19,57.62,0.0295
3/13/2016,63.87,49.7,0.0035
3/12/2016,64.33,46.86,0.002
3/11/2016,66.35,52.05,0.888
3/10/2016,76.16,55.46,0
3/9/2016,72.18,51.93,0
3/8/2016,69.99,48.29,0
3/7/2016,57.77,49.04,0.73
3/6/2016,65.31,54.55,0.928
3/5/2016,65.8,57.78,0.085
3/4/2016,69.45,54.55,0
3/3/2016,72.6,54.6,0
3/2/2016,73.51,55.92,0.0015
3/1/2016,76.22,56.79,0
2/29/2016,77.15,58.15,0
2/28/2016,76.24,56.91,0.0015
2/27/2016,74.98,54.91,0
2/26/2016,79.28,55.63,0
2/25/2016,81.73,57.12,0
2/24/2016,81.37,58.97,0
2/23/2016,82.29,57.46,0
2/22/2016,79.96,52.53,0.0015
2/21/2016,73.04,50,0
2/20/2016,70.59,49.63,0.001
2/19/2016,67.82,50.51,0
2/18/2016,67.48,55.38,0.21
2/17/2016,73.84,55.58,0.505
2/16/2016,89.44,62.15,0
2/15/2016,88.05,63.86,0
2/14/2016,81.74,54.4,0.002
2/13/2016,75.85,54.42,0.0015
2/12/2016,84.12,56.76,0.003
2/11/2016,84.92,59.37,0
2/10/2016,87.23,60.95,0
2/9/2016,89.15,62.66,0
2/8/2016,86.4,62.99,0
2/7/2016,83.58,55.43,0
2/6/2016,77.2,54.35,0
2/5/2016,75.97,51.34,0
2/4/2016,69.08,46.1,0
2/3/2016,63.76,44.05,0
2/2/2016,59.56,40.69,0
2/1/2016,57.75,45.51,0.001
1/31/2016,57.89,48.95,0.4585
1/30/2016,63.76,54.59,0.001
1/29/2016,71.05,52.46,0
1/28/2016,73.75,50.62,0
1/27/2016,72.38,53.21,0
1/26/2016,72.03,51.78,0
1/25/2016,70.52,50.01,0
1/24/2016,65.26,48.54,0
1/23/2016,63.5,53.59,0
1/22/2016,68.48,51.28,0.001
1/21/2016,75.98,52.48,0.0015
1/20/2016,67.27,55.86,0.0145
1/19/2016,62.92,53.45,0.047
1/18/2016,62.12,54.34,0
1/17/2016,68.12,51.26,0.003
1/16/2016,65.28,52.81,0
1/15/2016,62.57,50.28,0.0015
1/14/2016,63.63,49.43,0.001
1/13/2016,64.92,45.91,0
1/12/2016,68.76,45.28,0
1/11/2016,63.79,48.94,0
1/10/2016,60.35,50.68,0.012
1/9/2016,59.14,45.29,0.0085
1/8/2016,60.67,44.41,0
1/7/2016,57.41,46.48,0.321
1/6/2016,55.21,47.89,0.8305
1/5/2016,56.98,51.77,1.173
1/4/2016,67.59,55.09,0.001
1/3/2016,61.68,46.02,0
1/2/2016,64.67,46.96,0
1/1/2016,64.34,44.44,0
12/31/2015,64.58,43.9,0
12/30/2015,62,41.83,0
12/29/2015,60.15,40.96,0
12/28/2015,56.37,39.12,0
12/27/2015,60.29,41.49,0
12/26/2015,59.84,46.05,0
12/25/2015,58.37,46.36,0
12/24/2015,60.94,46.64,0
12/23/2015,64.84,52.4,0.003
12/22/2015,61.43,54.76,0.116
12/21/2015,61.52,44.85,0.065
12/20/2015,60.34,45.67,0.0035
12/19/2015,63.42,46.91,0.366
12/18/2015,71.22,47.2,0
12/17/2015,65.69,43.52,0
12/16/2015,61.45,42.73,0
12/15/2015,60.63,41.98,0
12/14/2015,57.91,47.51,0.002
12/13/2015,65.23,47.36,0.444
12/12/2015,66.07,49.24,0
12/11/2015,62.38,53.05,0.0155
12/10/2015,66.4,54.28,0.0455
12/9/2015,76.3,57.18,0
12/8/2015,82.95,57.34,0
12/7/2015,80.54,56.66,0.011
12/6/2015,78.48,57.11,0
12/5/2015,75.71,50.75,0
12/4/2015,66.67,51.38,0
12/3/2015,74.88,55.61,0
12/2/2015,77.54,52.32,0
12/1/2015,70.65,47.37,0
11/30/2015,66.08,45.9,0
11/29/2015,65.95,49.46,0
11/28/2015,63.41,46.25,0
11/27/2015,62.59,49.24,0.0055
11/26/2015,61.31,48.17,0.0015
11/25/2015,61,50.45,0.0465
11/24/2015,68.34,53.58,0.0055
11/23/2015,78.59,58.01,0
11/22/2015,85.45,62.66,0
11/21/2015,86.64,62.81,0
11/20/2015,82.81,58.48,0
11/19/2015,81.77,54.39,0
11/18/2015,76.69,51.2,0
11/17/2015,71.54,48.14,0
11/16/2015,62.61,51.48,0
11/15/2015,67.03,52.51,0.0095
11/14/2015,77,53.5,0
11/13/2015,79.92,54.32,0
11/12/2015,76.03,50.74,0
11/11/2015,72.31,48.64,0
11/10/2015,66.27,50.36,0
11/9/2015,66.9,55.29,0.0085
11/8/2015,75.66,54.09,0
11/7/2015,79.41,56.18,0
11/6/2015,76.08,53.03,0
11/5/2015,70.95,49.49,0
11/4/2015,67.03,49.56,0
11/3/2015,66.71,52.68,0.033
11/2/2015,71.46,58.46,0.051
11/1/2015,84.3,61.51,0
10/31/2015,87.7,63.09,0
10/30/2015,84.95,64.98,0
10/29/2015,82.01,65.48,0
10/28/2015,78.16,66.73,0
10/27/2015,83.24,61.55,0
10/26/2015,86.47,61.74,0
10/25/2015,83.66,67.51,0
10/24/2015,89.97,64.04,0
10/23/2015,81.77,62.71,0
